In this csv file you can find random values for gan growth resultsTemperature,Pressure,Diameter,Height
7.000000000000000000e+02,9.999999999999999547e-07,5.572892263671116808e+01,4.458314578945582412e+02
7.122448979591836178e+02,3.020408163265305951e-06,5.397191756194734324e+01,4.371944233389749002e+02
7.244897959183673493e+02,5.040816326530612159e-06,5.086239451572431847e+01,4.422049356768280859e+02
7.367346938775509670e+02,7.061224489795918368e-06,4.442994706261621474e+01,6.182454650269035028e+02
7.489795918367346985e+02,9.081632653061225423e-06,5.637714165171482961e+01,5.966095665193660125e+02
7.612244897959183163e+02,1.110204081632653163e-05,4.864520962112098346e+01,5.022744920565202733e+02
7.734693877551020478e+02,1.312244897959183784e-05,6.081827662498685072e+01,5.433638134939619704e+02
7.857142857142856656e+02,1.514285714285714405e-05,4.916387579186422840e+01,6.517204628690556092e+02
7.979591836734693970e+02,1.716326530612245026e-05,5.974222668668485170e+01,5.816982633543490238e+02
8.102040816326530148e+02,1.918367346938775646e-05,4.236048473313530849e+01,5.405884206390386453e+02
8.224489795918367463e+02,2.120408163265306267e-05,5.973411870751961317e+01,5.614071572388538698e+02
8.346938775510203641e+02,2.322448979591836888e-05,5.013216259498787508e+01,5.256316436563764682e+02
8.469387755102040956e+02,2.524489795918367509e-05,4.355574704017351451e+01,6.503280505353249055e+02
8.591836734693877133e+02,2.726530612244898130e-05,5.293527979639240044e+01,5.327258937217574157e+02
8.714285714285714448e+02,2.928571428571428750e-05,6.487500770866211042e+01,4.971554906143882135e+02
8.836734693877550626e+02,3.130612244897959371e-05,5.306688710988400715e+01,6.843906710832097815e+02
8.959183673469387941e+02,3.332653061224489653e-05,5.724941805821925556e+01,3.584147723609788727e+02
9.081632653061224119e+02,3.534693877551020613e-05,6.257870857740682879e+01,5.965343142904010847e+02
9.204081632653061433e+02,3.736734693877550895e-05,5.038346357036866152e+01,5.739303421303868618e+02
9.326530612244897611e+02,3.938775510204081177e-05,6.122752233638757957e+01,5.117136004067360204e+02
9.448979591836734926e+02,4.140816326530612137e-05,4.846162549194802693e+01,5.845200660605959229e+02
9.571428571428571104e+02,4.342857142857143096e-05,6.114734179173579776e+01,4.535701837540859742e+02
9.693877551020407282e+02,4.544897959183673378e-05,5.716773261546980933e+01,5.538753780749811995e+02
9.816326530612244596e+02,4.746938775510203660e-05,5.740638771708523080e+01,5.774894279460854705e+02
9.938775510204081911e+02,4.948979591836734620e-05,5.020246128962444487e+01,5.038120039031722968e+02
1.006122448979591809e+03,5.151020408163265580e-05,4.147912537258128651e+01,3.718581644173366385e+02
1.018367346938775427e+03,5.353061224489795862e-05,5.798176141398035099e+01,5.029594483962445111e+02
1.030612244897959044e+03,5.555102040816326144e-05,5.307903578502835984e+01,5.596296784518035565e+02
1.042857142857142890e+03,5.757142857142857103e-05,6.572325355627697263e+01,5.403370161294955096e+02
1.055102040816326507e+03,5.959183673469388063e-05,5.673501432533588229e+01,5.916308317876661249e+02
1.067346938775510125e+03,6.161224489795919022e-05,7.032502895479892402e+01,4.943081836389451382e+02
1.079591836734693970e+03,6.363265306122448627e-05,5.426748023096683937e+01,5.912580661746229680e+02
1.091836734693877588e+03,6.565306122448979586e-05,5.985502741893900946e+01,4.981401331026879120e+02
1.104081632653061206e+03,6.767346938775510546e-05,4.989625746526351691e+01,4.753377921913445334e+02
1.116326530612244824e+03,6.969387755102041506e-05,5.540387500683254984e+01,4.899115653286544330e+02
1.128571428571428442e+03,7.171428571428571110e-05,5.087953502275174600e+01,6.260229667712249011e+02
1.140816326530612287e+03,7.373469387755102070e-05,5.671476611910279786e+01,6.248374097191591545e+02
1.153061224489795904e+03,7.575510204081633029e-05,5.748217529836494322e+01,6.569951044448696393e+02
1.165306122448979522e+03,7.777551020408162634e-05,5.953362905999830446e+01,5.926488558092033827e+02
1.177551020408163367e+03,7.979591836734693593e-05,6.539590377558739931e+01,5.230267187847514379e+02
1.189795918367346985e+03,8.181632653061224553e-05,4.703325833018318747e+01,5.639410268094022740e+02
1.202040816326530603e+03,8.383673469387755513e-05,4.312200225694593314e+01,5.655663659552676563e+02
1.214285714285714221e+03,8.585714285714286472e-05,6.000496043908868415e+01,3.963055365872950233e+02
1.226530612244897839e+03,8.787755102040816077e-05,6.422190877185541069e+01,5.414926958832891160e+02
1.238775510204081456e+03,8.989795918367347036e-05,5.830089285379452946e+01,5.736243716871155129e+02
1.251020408163265301e+03,9.191836734693877996e-05,4.393380900318781812e+01,4.431681803280458780e+02
1.263265306122448919e+03,9.393877551020407600e-05,5.537728697149963608e+01,4.878448407034560432e+02
1.275510204081632764e+03,9.595918367346938560e-05,4.699653610230269152e+01,7.257080809452261292e+02
1.287755102040816382e+03,9.797959183673469520e-05,3.574402552613283035e+01,5.271217786368529232e+02
1.300000000000000000e+03,1.000000000000000048e-04,3.846018611823106426e+01,4.568785121299120533e+02
